step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.2279573678970337,0.22358186294635138,0.0,0.0,0.75,0.318,0.22866666666666666,0.08933333333333335,0.0004932613524206027
1000,0.17878726869821548,0.1780489602436622,0.0,0.0,0.7666666666666667,0.322,0.24333333333333335,0.07866666666666666,0.0004215619782589931
1500,0.17406105250120163,0.17341627987722555,0.0,0.0,0.7833333333333333,0.33666666666666667,0.256,0.08066666666666666,0.00029341617617584324
2000,0.17635219544172287,0.17170050802330175,0.0,0.0,0.7833333333333333,0.346,0.25866666666666666,0.08733333333333332,0.00015098703888904064
2500,0.1664769947528839,0.17104589628676573,0.0,0.0,0.79,0.346,0.26066666666666666,0.08533333333333332,4.11372245858229e-05
3000,0.1733916625380516,0.17089891557892165,0.0,0.0,0.7933333333333333,0.3486666666666667,0.2633333333333333,0.08533333333333337,1e-08
