step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.21525854617357254,0.20810787566006184,0.0,0.0,0.8933333333333333,0.338,0.26066666666666666,0.07733333333333337,0.0004932613524206027
1000,0.18709374964237213,0.18668951839208603,0.0,0.0,0.9266666666666666,0.346,0.288,0.057999999999999996,0.0004215619782589931
1500,0.19626905024051666,0.18158700317144394,0.0,0.0,0.93,0.3433333333333333,0.2946666666666667,0.048666666666666636,0.00029341617617584324
2000,0.1882076859474182,0.18232985896368822,0.0,0.0,0.9366666666666666,0.36133333333333334,0.288,0.07333333333333336,0.00015098703888904064
2500,0.17899254709482193,0.1801156848669052,0.0,0.0,0.9433333333333334,0.356,0.286,0.07,4.11372245858229e-05
3000,0.18483369052410126,0.17973548049728075,0.0,0.0,0.94,0.35933333333333334,0.2966666666666667,0.06266666666666665,1e-08
