step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.21388807147741318,0.19352053354183832,0.0,0.0,0.85,0.346,0.25066666666666665,0.09533333333333333,0.0004932613524206027
1000,0.18083378672599792,0.18147598579525948,0.0,0.0,0.88,0.33666666666666667,0.2793333333333333,0.05733333333333335,0.0004215619782589931
1500,0.18694186210632324,0.1768452407171329,0.0,0.0,0.8566666666666667,0.33466666666666667,0.2813333333333333,0.053333333333333344,0.00029341617617584324
2000,0.1756526604294777,0.1759564746171236,0.0,0.0,0.8633333333333333,0.3313333333333333,0.284,0.04733333333333334,0.00015098703888904064
2500,0.1781202107667923,0.17540555074810982,0.0,0.0,0.85,0.33666666666666667,0.29,0.04666666666666669,4.11372245858229e-05
3000,0.17831692844629288,0.17507716827094555,0.0,0.0,0.85,0.33,0.284,0.04600000000000004,1e-08
