step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.20965712517499924,0.19611391921838126,0.0,0.0,0.77,0.3293333333333333,0.25866666666666666,0.07066666666666666,0.0004932613524206027
1000,0.1921335756778717,0.1858973087122043,0.0,0.0,0.8133333333333334,0.36,0.314,0.045999999999999985,0.0004215619782589931
1500,0.18291743099689484,0.17924686583379904,0.0,0.0,0.8033333333333333,0.388,0.324,0.064,0.00029341617617584324
2000,0.1750747710466385,0.17479537489513555,0.0,0.0,0.8166666666666667,0.36933333333333335,0.32,0.04933333333333334,0.00015098703888904064
2500,0.17566601186990738,0.17332207721968493,0.0,0.0,0.8133333333333334,0.372,0.31533333333333335,0.05666666666666664,4.11372245858229e-05
3000,0.16908523440361023,0.17281808331608772,0.0,0.0,0.83,0.37466666666666665,0.31266666666666665,0.062,1e-08
