step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.1946365386247635,0.19966335532565913,0.0,0.0,0.79,0.324,0.2613333333333333,0.0626666666666667,0.0004932613524206027
1000,0.1941036805510521,0.187200748672088,0.0,0.0,0.8133333333333334,0.36333333333333334,0.30466666666666664,0.0586666666666667,0.0004215619782589931
1500,0.18279457837343216,0.18087399937212467,0.0,0.0,0.8466666666666667,0.37133333333333335,0.306,0.06533333333333335,0.00029341617617584324
2000,0.1817997768521309,0.17767958405117193,0.0,0.0,0.8466666666666667,0.36666666666666664,0.306,0.06066666666666665,0.00015098703888904064
2500,0.18067088723182678,0.1764741720010837,0.0,0.0,0.8766666666666667,0.37266666666666665,0.31466666666666665,0.057999999999999996,4.11372245858229e-05
3000,0.17408081144094467,0.17616969595352808,0.0,0.0,0.8733333333333333,0.372,0.30533333333333335,0.06666666666666665,1e-08
