step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.1943027526140213,0.19487595682342848,0.0,0.0,0.7333333333333333,0.31266666666666665,0.254,0.058666666666666645,0.0004932613524206027
1000,0.18404724448919296,0.18083847189942995,0.0,0.0,0.7633333333333333,0.368,0.31266666666666665,0.055333333333333345,0.0004215619782589931
1500,0.17526797205209732,0.17579517078896365,0.0,0.0,0.7933333333333333,0.36866666666666664,0.318,0.05066666666666664,0.00029341617617584324
2000,0.17925936728715897,0.172006626923879,0.0,0.0,0.8033333333333333,0.37466666666666665,0.32266666666666666,0.05199999999999999,0.00015098703888904064
2500,0.17208798974752426,0.17114529882868132,0.0,0.0,0.7966666666666666,0.36533333333333334,0.32,0.04533333333333334,4.11372245858229e-05
3000,0.17265795171260834,0.17094996633629003,0.0,0.0,0.8,0.37466666666666665,0.322,0.05266666666666664,1e-08
