step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.2112073302268982,0.20047688111662865,0.0,0.0,0.62,0.24266666666666667,0.20933333333333334,0.033333333333333326,0.0004932613524206027
1000,0.1958150565624237,0.19408030000825724,0.0,0.0,0.71,0.254,0.21933333333333332,0.03466666666666668,0.0004215619782589931
1500,0.18803778290748596,0.1884680719425281,0.0,0.0,0.7533333333333333,0.25666666666666665,0.232,0.024666666666666642,0.00029341617617584324
2000,0.1803973987698555,0.1785123205433289,0.0,0.0,0.8166666666666667,0.262,0.22466666666666665,0.03733333333333336,0.00015098703888904064
2500,0.18090641498565674,0.1750787440687418,0.0,0.0,0.8233333333333334,0.26066666666666666,0.22133333333333333,0.03933333333333333,4.11372245858229e-05
3000,0.17420483380556107,0.17432714998722076,0.0,0.0,0.8266666666666667,0.256,0.224,0.032,1e-08
