step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.20838001370429993,0.208753968278567,0.0,0.0,0.7466666666666667,0.24666666666666667,0.21733333333333332,0.02933333333333335,0.0004932613524206027
1000,0.2039138674736023,0.20053571462631226,0.0,0.0,0.8466666666666667,0.24333333333333335,0.21533333333333332,0.028000000000000025,0.0004215619782589931
1500,0.18539443612098694,0.18937801755964756,0.0,0.0,0.85,0.25733333333333336,0.206,0.05133333333333337,0.00029341617617584324
2000,0.18428752571344376,0.18193762749433517,0.0,0.0,0.8666666666666667,0.26,0.20933333333333334,0.050666666666666665,0.00015098703888904064
2500,0.18457933515310287,0.17787660658359528,0.0,0.0,0.8633333333333333,0.272,0.208,0.06400000000000003,4.11372245858229e-05
3000,0.17900311201810837,0.17703433272739252,0.0,0.0,0.87,0.2793333333333333,0.206,0.07333333333333333,1e-08
