step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.2046385258436203,0.1951124748835961,0.0,0.0,0.6766666666666666,0.242,0.19933333333333333,0.04266666666666666,0.0004932613524206027
1000,0.19825918227434158,0.18993020057678223,0.0,0.0,0.66,0.24733333333333332,0.19866666666666666,0.048666666666666664,0.0004215619782589931
1500,0.18742717057466507,0.18456135938564935,0.0,0.0,0.66,0.246,0.20066666666666666,0.04533333333333334,0.00029341617617584324
2000,0.18064992874860764,0.17782552912831306,0.0,0.0,0.6866666666666666,0.256,0.19733333333333333,0.05866666666666667,0.00015098703888904064
2500,0.1749228686094284,0.17538957049449286,0.0,0.0,0.7033333333333334,0.25266666666666665,0.20266666666666666,0.04999999999999999,4.11372245858229e-05
3000,0.17681927978992462,0.17466966124872366,0.0,0.0,0.7,0.25,0.19733333333333333,0.05266666666666667,1e-08
