step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.18831557780504227,0.1872172374278307,0.0,0.0,0.7833333333333333,0.316,0.23866666666666667,0.07733333333333334,0.0004932613524206027
1000,0.1836358979344368,0.1779217484096686,0.0,0.0,0.7766666666666666,0.332,0.264,0.068,0.0004215619782589931
1500,0.17363283783197403,0.17346542639036974,0.0,0.0,0.7666666666666667,0.35,0.2673333333333333,0.08266666666666667,0.00029341617617584324
2000,0.17354146391153336,0.1705263815820217,0.0,0.0,0.7733333333333333,0.348,0.2693333333333333,0.07866666666666666,0.00015098703888904064
2500,0.16921254247426987,0.16884327866137028,0.0,0.0,0.7666666666666667,0.3453333333333333,0.26866666666666666,0.07666666666666666,4.11372245858229e-05
3000,0.17053211480379105,0.1684134677052498,0.0,0.0,0.7733333333333333,0.3413333333333333,0.26866666666666666,0.07266666666666666,1e-08
