step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.194252111017704,0.19166177324950695,0.0,0.0,0.8466666666666667,0.336,0.266,0.07,0.0004932613524206027
1000,0.19255086034536362,0.18363441216448942,0.0,0.0,0.8366666666666667,0.354,0.27,0.08399999999999996,0.0004215619782589931
1500,0.1783732771873474,0.17745830429097018,0.0,0.0,0.81,0.338,0.27466666666666667,0.06333333333333335,0.00029341617617584324
2000,0.17762690782546997,0.17562424018979073,0.0,0.0,0.8266666666666667,0.344,0.26866666666666666,0.07533333333333331,0.00015098703888904064
2500,0.17611420899629593,0.17403323265413442,0.0,0.0,0.8366666666666667,0.3526666666666667,0.2793333333333333,0.07333333333333336,4.11372245858229e-05
3000,0.1753021404147148,0.17379757513602576,0.0,0.0,0.8366666666666667,0.362,0.276,0.08599999999999997,1e-08
