step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.1958589106798172,0.19510813616216183,0.0,0.0,0.8433333333333334,0.33266666666666667,0.2966666666666667,0.035999999999999976,0.0004932613524206027
1000,0.18565446138381958,0.18840890501936278,0.0,0.0,0.85,0.348,0.31466666666666665,0.033333333333333326,0.0004215619782589931
1500,0.18388734757900238,0.18146835640072823,0.0,0.0,0.83,0.356,0.316,0.03999999999999998,0.00029341617617584324
2000,0.18186882138252258,0.17934324219822884,0.0,0.0,0.8266666666666667,0.34933333333333333,0.294,0.055333333333333345,0.00015098703888904064
2500,0.18039219826459885,0.17821881423393884,0.0,0.0,0.84,0.35933333333333334,0.30533333333333335,0.05399999999999999,4.11372245858229e-05
3000,0.18675435334444046,0.17801318938533464,0.0,0.0,0.8366666666666667,0.3506666666666667,0.30466666666666664,0.04600000000000004,1e-08
