step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.21551451086997986,0.19887193540732065,0.0,0.0,0.8866666666666667,0.324,0.24066666666666667,0.08333333333333334,0.0004932613524206027
1000,0.1874815672636032,0.18376373251279196,0.0,0.0,0.8933333333333333,0.3333333333333333,0.25266666666666665,0.08066666666666666,0.0004215619782589931
1500,0.18434835225343704,0.18132331843177477,0.0,0.0,0.9033333333333333,0.3293333333333333,0.256,0.0733333333333333,0.00029341617617584324
2000,0.18340656906366348,0.17816022286812463,0.0,0.0,0.89,0.3373333333333333,0.26266666666666666,0.07466666666666666,0.00015098703888904064
2500,0.16553489118814468,0.17754404433071613,0.0,0.0,0.89,0.344,0.27266666666666667,0.0713333333333333,4.11372245858229e-05
3000,0.17515875399112701,0.17727482070525488,0.0,0.0,0.89,0.3486666666666667,0.27,0.07866666666666666,1e-08
