step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.24430619925260544,0.24665184939901033,0.0,0.0,0.7833333333333333,0.31333333333333335,0.23,0.08333333333333334,0.0004932613524206027
1000,0.18300992250442505,0.17639190951983133,0.0,0.0,0.7966666666666666,0.34,0.24666666666666667,0.09333333333333335,0.0004215619782589931
1500,0.17498829215765,0.1725246962159872,0.0,0.0,0.7933333333333333,0.34,0.25533333333333336,0.08466666666666667,0.00029341617617584324
2000,0.16675139963626862,0.1710447333753109,0.0,0.0,0.79,0.3453333333333333,0.25466666666666665,0.09066666666666667,0.00015098703888904064
2500,0.17605258524417877,0.17062974472840628,0.0,0.0,0.7866666666666666,0.34,0.25533333333333336,0.08466666666666667,4.11372245858229e-05
3000,0.1747680976986885,0.170381228129069,0.0,0.0,0.7933333333333333,0.342,0.25066666666666665,0.09133333333333338,1e-08
