step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.2306773141026497,0.22249926502505937,0.0,0.0,0.9133333333333333,0.31533333333333335,0.27,0.04533333333333334,0.0004932613524206027
1000,0.18824153393507004,0.1873405904819568,0.0,0.0,0.9266666666666666,0.33,0.27466666666666667,0.055333333333333345,0.0004215619782589931
1500,0.17882496863603592,0.18434371799230576,0.0,0.0,0.9266666666666666,0.3426666666666667,0.2793333333333333,0.06333333333333335,0.00029341617617584324
2000,0.18236859887838364,0.1828933364401261,0.0,0.0,0.9266666666666666,0.348,0.2753333333333333,0.07266666666666666,0.00015098703888904064
2500,0.1807621568441391,0.18199604066709676,0.0,0.0,0.9266666666666666,0.354,0.2826666666666667,0.0713333333333333,4.11372245858229e-05
3000,0.1754271760582924,0.18189307861030102,0.0,0.0,0.9266666666666666,0.3526666666666667,0.2853333333333333,0.06733333333333336,1e-08
