patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,10,210,0.172801,0.175667
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,20,420,0.187748,0.194877
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,50,1050,0.244879,0.248239
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,100,2100,0.300529,0.301601
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,2,42,0.043132,0.060192
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,5,105,0.068171,0.075987
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,10,210,0.079503,0.083671
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,20,420,0.089855,0.093276
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,50,1050,0.124901,0.128922
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,100,2100,0.159336,0.179296
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,2,42,0.064999,0.070011
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,5,105,0.101835,0.102028
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,10,210,0.124217,0.127428
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,20,420,0.1489,0.157311
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,50,1050,0.275843,0.272572
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,100,2100,0.34846,0.345144
8,1,raw,raw patches,seen,snr_doppler,2,42,0.09177,0.105656
8,1,raw,raw patches,seen,snr_doppler,5,105,0.111332,0.128495
8,1,raw,raw patches,seen,snr_doppler,10,210,0.148837,0.150907
8,1,raw,raw patches,seen,snr_doppler,20,420,0.193894,0.197225
8,1,raw,raw patches,seen,snr_doppler,50,1050,0.261624,0.260192
8,1,raw,raw patches,seen,snr_doppler,100,2100,0.292368,0.304162
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,2,42,0.088523,0.096692
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,5,105,0.120157,0.126788
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,10,210,0.151529,0.152188
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,20,420,0.177564,0.176521
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,50,1050,0.203326,0.204056
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,100,2100,0.225299,0.223906
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,2,42,0.07952,0.08111
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,5,105,0.129878,0.133191
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,10,210,0.192553,0.195518
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,20,420,0.272678,0.271932
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,50,1050,0.37663,0.375027
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,100,2100,0.419817,0.417289
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,2,10,0.157982,0.173189
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,5,25,0.244269,0.248127
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,10,50,0.244184,0.25229
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,20,100,0.244303,0.262281
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,50,250,0.30817,0.313905
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,100,500,0.341623,0.338052
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,2,10,0.200537,0.202331
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,5,25,0.214515,0.22398
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,10,50,0.225427,0.225645
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,20,100,0.23253,0.230641
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,50,250,0.276522,0.269775
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,100,500,0.295835,0.294754
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,2,10,0.19788,0.218152
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,5,25,0.213563,0.223147
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,10,50,0.242862,0.243131
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,20,100,0.267403,0.263114
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,50,250,0.268887,0.268943
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,100,500,0.321797,0.319734
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,2,10,0.200601,0.20816
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,5,25,0.203804,0.21149
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,10,50,0.192482,0.196503
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,20,100,0.200074,0.202331
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,50,250,0.18916,0.194005
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,100,500,0.19025,0.218152
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,2,10,0.186672,0.189842
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,5,25,0.195322,0.199833
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,10,50,0.190417,0.198168
