patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,10,210,0.172801,0.175667
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,20,420,0.187748,0.194877
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,50,1050,0.244879,0.248239
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,snr_doppler,100,2100,0.300529,0.301601
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,2,42,0.050198,0.059125
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,5,105,0.073806,0.076628
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,10,210,0.086268,0.088581
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,20,420,0.098249,0.115048
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,50,1050,0.148771,0.153682
8,1,random_init_mambarand,Mamba (random init),seen,snr_doppler,100,2100,0.216756,0.231163
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,2,42,0.075956,0.078975
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,5,105,0.07821,0.079616
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,10,210,0.087823,0.092209
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,20,420,0.123776,0.128282
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,50,1050,0.199851,0.196158
8,1,random_init_tfrand,Transformer (random init),seen,snr_doppler,100,2100,0.260407,0.260832
8,1,raw,raw patches,seen,snr_doppler,2,42,0.091717,0.105656
8,1,raw,raw patches,seen,snr_doppler,5,105,0.1163,0.122519
8,1,raw,raw patches,seen,snr_doppler,10,210,0.148243,0.150267
8,1,raw,raw patches,seen,snr_doppler,20,420,0.200775,0.204056
8,1,raw,raw patches,seen,snr_doppler,50,1050,0.261364,0.260832
8,1,raw,raw patches,seen,snr_doppler,100,2100,0.288389,0.307364
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,2,42,0.088523,0.096692
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,5,105,0.120157,0.126788
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,10,210,0.151529,0.152188
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,20,420,0.177564,0.176521
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,50,1050,0.203326,0.204056
8,1,resnet18,ResNet-18 (frozen),seen,snr_doppler,100,2100,0.225299,0.223906
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,2,42,0.062182,0.066809
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,5,105,0.096395,0.098399
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,10,210,0.129753,0.134258
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,20,420,0.15295,0.157097
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,50,1050,0.264969,0.262753
8,1,transformer_synth,LWM Transformer (pretrained),seen,snr_doppler,100,2100,0.34768,0.345358
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,2,10,0.130616,0.210658
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,5,25,0.242262,0.242298
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,10,50,0.244933,0.249792
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,20,100,0.212075,0.235637
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,50,250,0.322077,0.313072
8,1,deepcnn,DeepCNN (end-to-end),unseen,modulation,100,500,0.358196,0.344713
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,2,10,0.198103,0.200666
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,5,25,0.174163,0.209825
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,10,50,0.220275,0.220649
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,20,100,0.208583,0.212323
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,50,250,0.270228,0.266445
8,1,mamba,LWM Mamba (pretrained),unseen,modulation,100,500,0.290337,0.288926
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,2,10,0.19788,0.218152
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,5,25,0.213563,0.223147
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,10,50,0.242862,0.243131
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,20,100,0.267403,0.263114
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,50,250,0.268887,0.268943
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,modulation,100,500,0.321797,0.319734
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,2,10,0.205985,0.206495
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,5,25,0.20405,0.218152
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,10,50,0.188961,0.194838
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,20,100,0.199908,0.204829
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,50,250,0.203567,0.206495
8,1,random_init_mambarand,Mamba (random init),unseen,modulation,100,500,0.20771,0.21149
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,2,10,0.19544,0.201499
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,5,25,0.200831,0.20816
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,10,50,0.20823,0.214821
