step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.18677762150764465,0.186466404547294,0.0,0.0,0.81,0.302,0.23866666666666667,0.06333333333333332,0.0004932613524206027
1000,0.17752665281295776,0.18040058203041553,0.0,0.0,0.79,0.3526666666666667,0.282,0.07066666666666671,0.0004215619782589931
1500,0.17526013404130936,0.17645366365710893,0.0,0.0,0.7933333333333333,0.3466666666666667,0.282,0.0646666666666667,0.00029341617617584324
2000,0.1749385967850685,0.173292708893617,0.0,0.0,0.79,0.3526666666666667,0.29933333333333334,0.053333333333333344,0.00015098703888904064
2500,0.1785845309495926,0.17035206717749438,0.0,0.0,0.7966666666666666,0.3486666666666667,0.298,0.05066666666666669,4.11372245858229e-05
3000,0.16925857961177826,0.16998090036213398,0.0,0.0,0.7966666666666666,0.35333333333333333,0.30133333333333334,0.05199999999999999,1e-08
