step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.19856654852628708,0.1914847611139218,0.0,0.0,0.8566666666666667,0.31866666666666665,0.27066666666666667,0.04799999999999999,0.0004932613524206027
1000,0.184312604367733,0.1809155767162641,0.0,0.0,0.85,0.3586666666666667,0.286,0.07266666666666671,0.0004215619782589931
1500,0.18217656016349792,0.17783036455512047,0.0,0.0,0.8733333333333333,0.36933333333333335,0.30333333333333334,0.066,0.00029341617617584324
2000,0.17619463801383972,0.17518205071489015,0.0,0.0,0.88,0.36533333333333334,0.2906666666666667,0.07466666666666666,0.00015098703888904064
2500,0.17748352885246277,0.17355388899644217,0.0,0.0,0.8766666666666667,0.35733333333333334,0.29133333333333333,0.066,4.11372245858229e-05
3000,0.17077748477458954,0.17315154088040194,0.0,0.0,0.8833333333333333,0.362,0.302,0.06,1e-08
