step,mlm,val_mlm,sc_mod,sc_mob,demo_acc,probe_train,probe_val,probe_gap,lr
500,0.19811327010393143,0.1938116941601038,0.0,0.0,0.84,0.33666666666666667,0.2826666666666667,0.05399999999999999,0.0004932613524206027
1000,0.19081669300794601,0.18484249090154967,0.0,0.0,0.8466666666666667,0.368,0.30733333333333335,0.06066666666666665,0.0004215619782589931
1500,0.18522442877292633,0.17947352988024554,0.0,0.0,0.84,0.36733333333333335,0.30466666666666664,0.0626666666666667,0.00029341617617584324
2000,0.18169046193361282,0.17742112465202808,0.0,0.0,0.83,0.358,0.29,0.068,0.00015098703888904064
2500,0.17654183506965637,0.17626524219910303,0.0,0.0,0.8466666666666667,0.37133333333333335,0.28733333333333333,0.08400000000000002,4.11372245858229e-05
3000,0.1761193349957466,0.17595100589096546,0.0,0.0,0.8433333333333334,0.37133333333333335,0.29133333333333333,0.08000000000000002,1e-08
